articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
EXT_26-2-2016,0.59,0.59,mean,0,MATCH,NA
EXT_26-2-2016,0.42,0.42,sd,0,MATCH,NA
EXT_26-2-2016,0.62,0.62,mean,0,MATCH,NA
EXT_26-2-2016,0.42,0.42,sd,0,MATCH,NA
EXT_26-2-2016,0.56,0.56,mean,0,MATCH,NA
EXT_26-2-2016,0.41,0.41,sd,0,MATCH,NA
EXT_26-2-2016,2.56,2.47,t,3.5156249999999947,MINOR_ERROR,NA
EXT_26-2-2016,1083,1082,df,0.09233610341643582,MINOR_ERROR,NA
EXT_26-2-2016,<.05,0.01352,p,NA,MATCH,TRUE
EXT_26-2-2016,7.42,7.42,F,0,MATCH,NA
EXT_26-2-2016,1,1,df,0,MATCH,NA
EXT_26-2-2016,1081,1081,df,0,MATCH,NA
EXT_26-2-2016,<.01,0.00655,p,NA,MATCH,TRUE
EXT_26-2-2016,0.67,0.67,mean,0,MATCH,NA
EXT_26-2-2016,0.39,0.39,sd,0,MATCH,NA
EXT_26-2-2016,0.53,0.53,mean,0,MATCH,NA
EXT_26-2-2016,0.4,0.4,sd,0,MATCH,NA
EXT_26-2-2016,13.61,14.9,F,9.478324761205004,MINOR_ERROR,NA
EXT_26-2-2016,1,1,df,0,MATCH,NA
EXT_26-2-2016,1081,521,df,51.80388529139685,MAJOR_ERROR,NA
EXT_26-2-2016,0.001,0.000127,p,NA,MATCH,TRUE
EXT_26-2-2016,0.01,0.01,F,0,MATCH,NA
EXT_26-2-2016,1,1,df,0,MATCH,NA
EXT_26-2-2016,1081,560,df,48.19611470860315,MAJOR_ERROR,NA
EXT_26-2-2016,0.92,0.92,p,0,MATCH,NA
